Time,kospi_price,lending,credit_long,credit_short,secured_loan,lending_gr,credit_long_gr,credit_short_gr,secured_loan_gr,kospi_price_gr
2008-10-21,1196.1,17516200739165,1615066000000,6911000000,4805990000000,,,,,
2008-10-22,1134.59,16243701417120,1558719000000,6823000000,4722774000000,-0.0726,-0.0349,-0.0127,-0.0173,-0.0514
2008-10-23,1049.71,14878682630110,1509430000000,6063000000,4658239000000,-0.0840,-0.0316,-0.1114,-0.0137,-0.0748
2008-10-24,938.75,10620139577410,1456783000000,5727000000,4568727000000,-0.2862,-0.0349,-0.0554,-0.0192,-0.1057
2008-10-27,946.45,13590332412460,1369152000000,5605000000,4338890000000,0.2797,-0.0602,-0.0213,-0.0503,0.0082
2008-10-28,999.16,14677496508535,1167837000000,5410000000,4101443000000,0.0800,-0.1470,-0.0348,-0.0547,0.0557
2008-10-29,968.97,14009885316345,972274000000,5181000000,3826988000000,-0.0455,-0.1675,-0.0423,-0.0669,-0.0302
2008-10-30,1084.72,15499002852365,951710000000,5019000000,3669230000000,0.1063,-0.0212,-0.0313,-0.0412,0.1195
2008-10-31,1113.06,15582815270260,875114000000,4916000000,3613393000000,0.0054,-0.0805,-0.0205,-0.0152,0.0261
2008-11-03,1129.08,15592207071965,944671000000,4858000000,3591548000000,0.0006,0.0795,-0.0118,-0.0060,0.0144
2008-11-04,1153.35,15160595622065,900825000000,4606000000,3555781000000,-0.0277,-0.0464,-0.0519,-0.0100,0.0215
2008-11-05,1181.5,15391082071365,949052000000,4518000000,3541962000000,0.0152,0.0535,-0.0191,-0.0039,0.0244
2008-11-06,1092.22,13791490733820,1005148000000,4374000000,3551438000000,-0.1039,0.0591,-0.0319,0.0027,-0.0756
2008-11-07,1134.49,14330252940380,982410000000,4217000000,3515366000000,0.0391,-0.0226,-0.0359,-0.0102,0.0387
2008-11-10,1152.46,14627818379795,958381000000,4149000000,3485360000000,0.0208,-0.0245,-0.0161,-0.0085,0.0158
2008-11-11,1128.73,14168988643455,1016768000000,4068000000,3477877000000,-0.0314,0.0609,-0.0195,-0.0021,-0.0206
2008-11-12,1123.86,14107965393285,1046079000000,3950000000,3462824000000,-0.0043,0.0288,-0.0290,-0.0043,-0.0043
2008-11-13,1088.44,13454714332375,1024080000000,3936000000,3493742000000,-0.0463,-0.0210,-0.0035,0.0089,-0.0315
2008-11-14,1088.26,13408975778005,1046709000000,3452000000,3485760000000,-0.0034,0.0221,-0.1230,-0.0023,-0.0002
2008-11-17,1078.32,13167249059380,1030190000000,3424000000,3476879000000,-0.0180,-0.0158,-0.0081,-0.0025,-0.0091
2008-11-18,1036.16,12487783199495,1085934000000,3368000000,3471647000000,-0.0516,0.0541,-0.0164,-0.0015,-0.0391
2008-11-19,1016.82,12217331487375,1101271000000,3300000000,3473135000000,-0.0217,0.0141,-0.0202,0.0004,-0.0187
2008-11-20,948.69,11203937832950,1081285000000,2494000000,3478157000000,-0.0829,-0.0181,-0.2442,0.0014,-0.0670
2008-11-21,1003.73,12003833792050,1075351000000,1548000000,3457431000000,0.0714,-0.0055,-0.3793,-0.0060,0.0580
2008-11-24,970.14,11469311776405,983634000000,1267000000,3568144000000,-0.0445,-0.0853,-0.1815,0.0320,-0.0335
2008-11-25,983.32,11547293657675,1009957000000,614000000,3406380000000,0.0068,0.0268,-0.5154,-0.0453,0.0136
2008-11-26,1029.78,12108859894065,997357000000,267000000,3389294000000,0.0486,-0.0125,-0.5651,-0.0050,0.0472
2008-11-27,1063.48,12625176071655,980301000000,255000000,3405062000000,0.0426,-0.0171,-0.0449,0.0047,0.0327
2008-11-28,1076.07,12650176828710,1007206000000,349000000,3353049000000,0.0020,0.0274,0.3686,-0.0153,0.0118
2008-12-01,1058.62,12387159892145,1004644000000,298000000,3374424000000,-0.0208,-0.0025,-0.1461,0.0064,-0.0162
2008-12-02,1023.2,11915476803450,968627000000,151000000,3363058000000,-0.0381,-0.0359,-0.4933,-0.0034,-0.0335
2008-12-03,1022.67,12025868072925,988314000000,53000000,3342176000000,0.0093,0.0203,-0.6490,-0.0062,-0.0005
2008-12-04,1006.54,11715138092870,998636000000,53000000,3335060000000,-0.0258,0.0104,0.0000,-0.0021,-0.0158
2008-12-05,1028.13,12065505546855,1036676000000,53000000,3331974000000,0.0299,0.0381,0.0000,-0.0009,0.0214
2008-12-08,1105.05,12965890060945,1031133000000,53000000,3331869000000,0.0746,-0.0053,0.0000,-0.0000,0.0748
2008-12-09,1105.84,13274743933815,1041828000000,53000000,3346987000000,0.0238,0.0104,0.0000,0.0045,0.0007
2008-12-10,1145.87,13697474844685,1087396000000,48000000,3328827000000,0.0318,0.0437,-0.0943,-0.0054,0.0362
2008-12-11,1154.43,13862490712250,1061970000000,48000000,3315401000000,0.0120,-0.0234,0.0000,-0.0040,0.0075
2008-12-12,1103.82,13063651629305,1089007000000,40000000,3292835000000,-0.0576,0.0255,-0.1667,-0.0068,-0.0438
2008-12-15,1158.19,14685242180185,1057981000000,40000000,3284854000000,0.1241,-0.0285,0.0000,-0.0024,0.0493
2008-12-16,1161.56,14519916962610,1075736000000,16000000,3296117000000,-0.0113,0.0168,-0.6000,0.0034,0.0029
2008-12-17,1169.75,14431253075945,1152322000000,16000000,3290336000000,-0.0061,0.0712,0.0000,-0.0018,0.0071
2008-12-18,1175.91,14204892740730,1189068000000,16000000,3275594000000,-0.0157,0.0319,0.0000,-0.0045,0.0053
2008-12-19,1180.97,14044854754935,1195286000000,16000000,3265605000000,-0.0113,0.0052,0.0000,-0.0030,0.0043
2008-12-22,1179.61,13913972510595,1218793000000,16000000,3259831000000,-0.0093,0.0197,0.0000,-0.0018,-0.0012
2008-12-23,1144.31,12023250983825,1217573000000,16000000,3273824000000,-0.1359,-0.0010,0.0000,0.0043,-0.0299
2008-12-24,1128.51,11562768657230,1233898000000,16000000,3175514000000,-0.0383,0.0134,0.0000,-0.0300,-0.0138
2008-12-26,1117.86,11391390712680,1235168000000,10000000,3274467000000,-0.0148,0.0010,-0.3750,0.0312,-0.0094
2008-12-29,1117.59,11136454648370,1236629000000,7000000,3287680000000,-0.0224,0.0012,-0.3000,0.0040,-0.0002
2008-12-30,1124.47,10393882734195,1219003000000,5000000,3305423000000,-0.0667,-0.0143,-0.2857,0.0054,0.0062
2009-01-02,1157.4,10963316801615,1195185000000,0,3268311000000,0.0548,-0.0195,0.0000,-0.0112,0.0293
2009-01-05,1173.57,12809405093450,1147489000000,0,3249548000000,0.1684,-0.0399,0.0000,-0.0057,0.0140
2009-01-06,1194.28,13156169550725,1172325000000,0,3231217000000,0.0271,0.0216,0.0000,-0.0056,0.0176
2009-01-07,1228.17,13733378872945,1167549000000,0,3205745000000,0.0439,-0.0041,0.0000,-0.0079,0.0284
